nr,navn,gruppe,ferdighet,kan_laanes
1,Aksel Hansen,Skole A,3,Ja
2,Bjørn Olsen,Skole A,2,Nei
3,Cecilie Berg,Skole A,4,Ja
4,Daniel Lie,Skole A,3,Nei
5,Emma Sand,Skole A,3,Ja
6,Frida Holm,Skole A,2,Nei
7,Gunnar Vik,Skole A,5,Ja
8,Henrik Lund,Skole B,3,Nei
9,Ida Moen,Skole B,3,Ja
10,Jonas Ås,Skole B,4,Nei
11,Kari Bø,Skole B,2,Ja
12,Lars Eng,Skole B,3,Nei
13,Mia Dal,Skole B,3,Ja
14,Noah Fjell,Skole B,1,Nei
15,Olav Grønn,Skole C,5,Ja
16,Petter Hauge,Skole C,3,Nei
17,Quentin Isaksen,Skole C,3,Ja
18,Rikke Jensen,Skole C,2,Nei
19,Sander Krog,Skole C,4,Ja
20,Tuva Lindberg,Skole C,3,Nei
21,Ulrik Mathisen,Skole D,3,Ja
22,Vilde Nilsen,Skole D,2,Nei
23,William Olsen,Skole D,5,Ja
24,Xena Pettersen,Skole D,3,Nei
